,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
285,Lavrentiya,0,RU,1584329467,83,65.58,-171.0,25.83,3.24
286,Paracuru,75,BR,1584329538,83,-3.41,-39.03,80.6,1.5
287,Kodinsk,100,RU,1584329538,90,58.69,99.18,31.17,3.92
288,Santa Cruz de Tenerife,75,ES,1584329538,87,28.47,-16.25,63.0,6.7
289,Breves,100,BR,1584329539,99,-1.68,-50.48,72.03,0.6
290,Kathmandu,20,NP,1584329522,62,27.72,85.32,55.4,1.0
291,Aliquippa,1,US,1584329539,64,40.64,-80.24,39.99,1.5
292,Hithadhoo,100,MV,1584329278,62,-0.6,73.08,83.16,2.61
293,Mauá,0,BR,1584329358,68,-23.67,-46.46,81.0,3.6
294,Teguise,75,ES,1584329540,72,29.06,-13.56,64.4,6.7
295,Tuy Hoa,0,VN,1584329540,79,13.08,109.3,78.62,2.33
296,San Antonio,90,US,1584329400,100,29.42,-98.49,69.01,1.5
297,Caravelas,100,BR,1584329495,80,-17.71,-39.25,80.2,3.44
298,Makakilo City,90,US,1584329541,83,21.35,-158.09,78.8,2.1
299,Hasaki,75,JP,1584329541,46,35.73,140.83,57.0,5.7
300,Salinópolis,100,BR,1584329541,87,-0.61,-47.36,77.83,1.84
301,Fomboni,49,KM,1584329541,74,-12.28,43.74,83.52,5.6
302,Clyde River,20,CA,1584329541,74,70.47,-68.59,-22.0,8.7
303,Baharly,0,TM,1584329542,60,38.44,57.43,57.78,1.12
304,Ilhabela,9,BR,1584329359,78,-23.78,-45.36,79.12,5.44
305,Coalinga,1,US,1584329542,62,36.14,-120.36,55.4,4.6
306,Rabo de Peixe,20,PT,1584329542,76,37.8,-25.58,50.0,1.0
307,Lüderitz,0,NA,1584329543,82,-26.65,15.16,62.6,4.6
308,Puerto Carreño,100,CO,1584329543,47,6.19,-67.49,84.34,3.75
309,Tsaratanana,69,MG,1584329543,92,-16.78,47.65,65.23,2.3
310,Festus,90,US,1584329447,80,38.22,-90.4,41.0,0.72
311,Mbuji-Mayi,100,CD,1584329544,87,-6.15,23.6,72.03,1.23
312,Puri,20,IN,1584329544,78,19.8,85.85,80.6,1.5
313,Pushchino,0,RU,1584329544,85,54.83,37.63,15.8,2.0
314,Griffith,1,US,1584329484,86,41.53,-87.42,35.6,2.1
315,San Quintín,0,MX,1584329303,77,30.48,-115.95,59.22,5.43
316,Kassala,88,SD,1584329545,50,15.45,36.4,65.53,2.92
317,Nchelenge,100,ZM,1584329545,94,-9.35,28.73,68.9,3.26
318,Lensk,100,RU,1584329545,89,60.73,114.93,30.42,5.4
319,Nizhneye Kazanishche,40,RU,1584329545,75,42.76,47.16,44.6,7.0
320,Yangi Marg`ilon,100,UZ,1584329546,46,40.43,71.72,55.4,3.1
321,Tevaitoa,6,PF,1584329546,72,-16.78,-151.5,83.46,4.11
322,Ambatofinandrahana,14,MG,1584329547,95,-20.55,46.8,55.78,1.09
323,Kavieng,100,PG,1584329547,72,-2.57,150.8,83.88,4.27
324,Mitsamiouli,46,KM,1584329470,72,-11.38,43.28,83.34,1.17
325,Lázaro Cárdenas,25,MX,1584329547,88,17.96,-102.2,75.83,1.63
326,Bilibino,66,RU,1584329331,82,68.05,166.44,4.89,1.56
327,Port Elizabeth,75,ZA,1584329548,93,-33.92,25.57,62.6,2.6
328,Fortuna,20,US,1584329448,80,40.6,-124.16,44.6,4.1
329,Sibu,75,MY,1584329548,70,2.3,111.82,86.0,3.1
330,Eyl,91,SO,1584329484,79,7.98,49.82,79.68,5.58
331,San Cristobal,20,VE,1584329548,69,7.77,-72.22,77.0,2.1
332,Bambanglipuro,7,ID,1584329372,66,-7.95,110.28,85.93,3.56
333,Praia da Vitória,20,PT,1584329457,87,38.73,-27.07,57.2,4.64
334,Ust'-Koksa,100,RU,1584329549,71,50.27,85.61,30.47,3.18
335,Kondopoga,100,RU,1584329549,83,62.21,34.26,32.0,9.0
336,Dubbo,75,AU,1584329358,47,-32.25,148.62,75.2,6.7
337,Colares,20,PT,1584329550,71,38.8,-9.45,52.0,3.6
338,Laas,75,IT,1584329550,92,46.62,10.7,32.0,0.5
339,Petropavlovsk-Kamchatskiy,90,RU,1584329344,100,53.05,158.65,35.6,7.0
340,Beloha,51,MG,1584329552,97,-25.17,45.05,70.34,3.71
341,Viiratsi,90,EE,1584329552,95,58.36,25.64,33.01,7.7
342,Timmins,40,CA,1584329358,46,48.47,-81.33,8.6,2.1
343,Dandong,0,CN,1584329553,32,40.13,124.39,36.93,4.83
344,Osmeña,0,PH,1584329553,74,10.52,119.93,80.8,6.93
345,Giovinazzo,0,IT,1584329553,75,41.19,16.67,48.0,2.6
346,Rio Grande,90,BR,1584329553,100,-32.03,-52.1,68.0,5.2
347,Padang,25,ID,1584329553,56,-0.95,100.35,84.29,0.87
348,Vestmannaeyjar,100,IS,1584329554,93,63.44,-20.27,38.98,23.72
349,San Andrés,20,CO,1584329554,78,12.58,-81.7,80.6,4.6
350,Katsuura,75,JP,1584329554,26,35.13,140.3,57.2,7.2
351,Ostrovnoy,100,RU,1584329493,95,68.05,39.51,24.62,3.38
352,Bushehr,40,IR,1584329555,59,28.97,50.84,66.2,2.1
353,Napier City,100,NZ,1584329553,70,-39.48,176.92,70.0,1.79
354,Cap Malheureux,75,MU,1584329555,94,-19.98,57.61,77.0,1.0
355,Bandiagara,100,ML,1584329555,25,14.35,-3.61,86.0,4.1
356,Kumluca,73,TR,1584329415,94,36.37,30.29,52.59,0.79
357,Mount Isa,39,AU,1584329434,24,-20.73,139.5,91.4,4.6
358,Adrar,0,MR,1584329556,20,20.5,-10.07,67.33,5.64
359,São João da Barra,0,BR,1584329446,87,-21.64,-41.05,77.74,5.44
360,São José de Ribamar,75,BR,1584329556,100,-2.56,-44.05,75.2,3.6
361,Yarmouth,1,US,1584329538,73,41.71,-70.23,36.0,4.77
362,Birao,100,CF,1584329557,14,10.28,22.79,79.61,4.61
363,Poopó,80,BO,1584329557,65,-18.37,-66.97,52.16,1.89
364,Cangzhou,74,CN,1584329558,35,38.32,116.87,51.4,4.65
365,Betsiamites,1,CA,1584329558,51,48.94,-68.65,15.8,3.6
366,Longyearbyen,90,SJ,1584329558,84,78.22,15.64,-0.4,2.1
367,‘Ewa Beach,90,US,1584329558,83,21.32,-158.01,78.8,2.1
368,Myski,100,RU,1584329558,81,53.71,87.8,38.16,3.4
369,Lourdes,90,FR,1584329283,93,43.1,-0.05,48.2,2.6
370,Fare,0,PF,1584329559,68,-16.7,-151.02,83.52,3.97
371,Zhigansk,100,RU,1584329559,93,66.77,123.37,4.03,11.37
372,Stornoway,38,GB,1584329559,71,58.21,-6.39,33.01,2.1
373,Grand Gaube,75,MU,1584329559,94,-20.01,57.66,77.0,1.0
374,Dubai,0,AE,1584329281,43,25.26,55.3,73.4,3.1
375,Guerrero Negro,0,MX,1584329511,72,27.98,-114.06,60.51,6.93
376,Batagay-Alyta,100,RU,1584329560,95,67.8,130.41,-4.2,4.02
377,Oromocto,20,CA,1584329560,52,45.84,-66.48,19.4,1.5
378,Yulara,0,AU,1584329560,8,-25.24,130.99,89.6,4.1
379,Chicama,100,PE,1584329560,83,-7.84,-79.15,73.4,3.6
380,Kapuskasing,75,CA,1584329561,71,49.42,-82.43,5.0,2.1
381,Conceição do Araguaia,100,BR,1584329561,94,-8.26,-49.26,77.0,1.0
382,Båtsfjord,100,NO,1584329561,69,70.63,29.72,12.94,0.8
383,Greenwood,90,US,1584328975,82,34.17,-82.12,59.0,2.1
384,Kupang,40,ID,1584329561,62,-10.17,123.58,89.6,1.5
385,Freire,0,CL,1584329562,93,-38.95,-72.63,48.99,1.5
386,Havøysund,90,NO,1584329562,73,71.0,24.66,23.0,4.1
387,Mustvee,90,EE,1584329562,87,58.85,26.94,33.01,7.7
388,Marang,40,MY,1584329562,70,5.21,103.21,87.8,3.1
389,Vostok,28,RU,1584329111,76,46.49,135.88,19.0,5.24
390,Xinan,1,CN,1584329562,69,26.72,119.86,56.48,3.12
391,Samarai,2,PG,1584329563,51,-10.62,150.67,90.34,1.74
392,Temirtau,99,KZ,1584329563,86,50.05,72.95,33.8,2.0
393,Lata,40,PT,1584329563,81,40.16,-8.33,48.0,1.5
394,Shache,0,CN,1584329563,22,38.42,77.24,47.23,2.48
395,Naze,75,JP,1584329446,51,28.37,129.48,62.6,7.2
396,Kibala,25,TD,1584329468,13,9.11,18.35,73.42,2.45
397,Port Blair,84,IN,1584329564,73,11.67,92.75,83.52,4.92
398,Acton,0,GB,1584329564,100,51.51,-0.28,43.0,1.5
399,Acaraú,100,BR,1584329564,97,-2.89,-40.12,75.02,1.82
400,Arlit,100,NE,1584329564,12,18.74,7.39,71.87,3.8
401,Mersing,40,MY,1584329565,74,2.43,103.84,86.0,3.6
402,Itirapina,0,BR,1584329565,100,-22.25,-47.82,68.0,1.5
403,Feldbach,0,AT,1584329565,85,46.95,15.89,33.01,0.5
404,Bougouni,100,ML,1584329565,13,11.42,-7.48,78.55,1.65
405,Orchard Homes,75,US,1584329565,58,46.86,-114.05,24.8,2.6
406,Suntar,100,RU,1584329566,96,62.14,117.63,31.51,4.23
407,Arrondissement de Saint-Denis,95,FR,1584329566,87,48.92,2.33,46.99,1.5
408,Assiniboia,100,CA,1584329566,85,49.63,-105.98,20.05,4.12
409,Philadelphia,1,US,1584329466,47,39.95,-75.16,44.6,3.01
410,Launceston,40,AU,1584329566,42,-41.45,147.17,70.0,4.1
411,Dingzhou,100,CN,1584329566,48,38.51,115.0,44.6,1.0
412,Wittmund,87,DE,1584329567,81,53.57,7.78,48.99,3.1
413,Marsh Harbour,0,BS,1584329390,73,26.54,-77.06,72.45,4.89
414,Xylaganí,40,GR,1584329567,80,40.98,25.42,39.99,8.2
415,Ust-Tsilma,100,RU,1584329567,87,65.44,52.15,15.75,4.65
416,Kismayo,53,SO,1584329568,78,-0.36,42.55,82.81,5.7
417,Asău,0,RO,1584329482,73,46.43,26.4,23.0,1.5
418,Srednekolymsk,10,RU,1584329568,86,67.45,153.68,-2.97,1.8
419,Shahr-e Kord,20,IR,1584329568,81,32.33,50.86,32.0,2.1
420,Paramonga,100,PE,1584329568,89,-10.67,-77.83,72.39,4.92
421,Aketi,98,CD,1584329568,97,2.74,23.78,69.22,0.65
422,Shido,75,JP,1584329569,65,34.32,134.17,52.0,7.7
423,Kjøpsvik,100,NO,1584329569,92,68.1,16.37,28.0,9.3
424,Lazurne,0,UA,1584329569,67,46.08,32.53,26.01,3.0
425,Mumford,10,GH,1584329569,89,5.26,-0.76,77.97,2.42
426,Andreyevo,0,RU,1584329570,86,55.95,41.15,21.87,2.8
427,Monrovia,83,LR,1584329570,88,6.3,-10.8,80.24,2.37
428,Beohāri,83,IN,1584329570,42,24.05,81.38,72.23,2.18
429,Río Cuarto,90,AR,1584329570,93,-33.13,-64.35,57.2,2.1
430,Povenets,100,RU,1584329570,94,62.85,34.83,28.98,7.9
431,Zhezkazgan,90,KZ,1584329570,80,47.8,67.71,35.6,4.0
432,Nyurba,100,RU,1584329571,99,63.28,118.33,31.62,3.6
433,Mossendjo,84,CG,1584329571,98,-2.95,12.73,70.77,0.49
434,Iqaluit,90,CA,1584329447,64,63.75,-68.51,-0.4,6.2
435,Tessalit,73,ML,1584329571,16,20.2,1.01,72.41,1.89
436,Cabo San Lucas,75,MX,1584329395,72,22.89,-109.91,70.0,1.5
437,Oistins,40,BB,1584329572,78,13.07,-59.53,77.0,3.6
438,Cafarnaum,100,BR,1584329572,88,-11.69,-41.47,66.97,2.11
439,Nelson Bay,40,AU,1584329419,60,-32.72,152.15,73.4,9.8
440,Virginia Beach,90,US,1584329552,61,36.85,-75.98,48.2,5.7
441,Terenos,20,BR,1584329573,83,-20.44,-54.86,73.4,1.5
442,Tazmalt,40,DZ,1584329573,87,36.39,4.4,57.2,2.6
443,Plettenberg Bay,92,ZA,1584329573,86,-34.05,23.37,62.04,4.63
444,Guhāgar,2,IN,1584329573,56,17.48,73.19,80.6,2.96
445,Filingué,32,NE,1584329574,12,14.35,3.32,75.25,3.87
446,Honningsvåg,100,NO,1584329447,70,70.98,25.97,26.55,2.18
447,Bandar-e Lengeh,0,IR,1584329574,83,26.56,54.88,71.6,5.1
448,Junín,0,AR,1584329574,89,-34.58,-60.94,59.0,2.21
449,Yumen,68,CN,1584329574,18,40.28,97.2,44.08,0.51
450,Araouane,0,ML,1584329458,8,18.9,-3.53,76.08,5.1
451,Hobyo,69,SO,1584329470,80,5.35,48.53,80.29,6.32
452,Ridgetown,1,CA,1584329575,92,42.43,-81.9,28.0,2.6
453,Dehlorān,3,IR,1584329575,63,32.69,47.27,58.21,1.5
454,Powell River,5,CA,1584329576,47,49.85,-124.54,41.0,1.5
455,Bonavista,0,CA,1584329576,79,48.65,-53.11,24.01,2.24
456,Maţāy,0,EG,1584329576,63,28.42,30.78,63.9,2.13
457,Caronport,94,CA,1584329576,83,50.45,-105.82,14.0,2.68
458,Qaqortoq,22,GL,1584329576,67,60.72,-46.03,21.2,13.08
459,Grindavik,90,IS,1584329274,93,63.84,-22.43,35.6,14.9
460,Kailua,90,US,1584329577,74,21.4,-157.74,78.8,3.88
461,Alice Springs,0,AU,1584329295,13,-23.7,133.88,82.4,4.1
462,Río Gallegos,100,AR,1584329362,58,-51.62,-69.22,62.96,7.17
463,Isangel,90,VU,1584329578,84,-19.55,169.27,86.0,10.3
464,Prieska,0,ZA,1584329578,62,-29.66,22.75,65.61,3.98
465,Chāmpua,83,IN,1584329578,61,22.08,85.67,76.33,0.94
466,Ballina,40,AU,1584329578,78,-28.87,153.57,75.2,7.7
467,Nishihara,0,JP,1584329578,40,26.18,127.76,68.0,7.7
468,San Miguel,76,SV,1584329579,66,13.48,-88.18,78.49,1.38
469,Kawalu,31,ID,1584329564,62,-7.38,108.21,82.85,2.32
470,Fairlie,90,GB,1584329579,93,55.76,-4.86,41.0,2.1
471,Koungheul,56,SN,1584329579,18,13.98,-14.8,71.8,3.99
472,Okhotsk,21,RU,1584329580,78,59.38,143.3,10.83,5.84
473,Katangi,37,IN,1584329580,64,23.45,79.78,69.8,1.0
474,Kholm,80,RU,1584329582,62,59.27,32.85,29.68,6.05
475,Dyat'kovo,0,RU,1584329582,72,53.6,34.34,17.6,3.0
476,Anadyr,100,RU,1584329582,92,64.75,177.48,21.2,1.0
477,Talaya,100,RU,1584329582,78,61.38,152.75,2.3,3.18
478,Sesimbra,20,PT,1584329582,71,38.44,-9.1,52.0,3.6
479,Orós,100,BR,1584329583,95,-6.24,-38.91,73.69,1.46
480,Verkhoyansk,97,RU,1584329583,71,67.54,133.38,-4.2,2.56
481,Katangli,67,RU,1584329583,77,51.71,143.23,14.68,3.92
482,San Juan,0,AR,1584329583,38,-31.54,-68.54,69.39,3.79
483,Kjøllefjord,100,NO,1584329441,78,70.95,27.35,22.57,2.8
484,Road Town,2,VG,1584329583,76,18.42,-64.62,75.99,4.92
485,Mishan,76,CN,1584329584,64,45.55,131.88,27.16,6.97
486,Laguna,90,US,1584329309,76,38.42,-121.42,51.8,2.1
487,Lanxi,0,CN,1584329584,52,29.22,119.48,62.92,3.6
488,Sarlat-la-Canéda,100,FR,1584329584,93,44.89,1.22,50.0,1.5
489,Carutapera,100,BR,1584329585,85,-1.2,-46.02,78.42,3.88
490,Cockburn Town,0,TC,1584329585,69,21.46,-71.14,74.26,7.04
491,Harper,100,LR,1584329585,95,4.38,-7.72,74.95,0.78
492,Sanary-sur-Mer,0,FR,1584329585,62,43.12,5.8,55.4,7.7
493,Tiksi,100,RU,1584329585,81,71.69,128.87,9.09,9.2
494,Fazilka,100,IN,1584329586,57,30.4,74.03,62.98,1.09
495,Wajima,75,JP,1584329587,52,37.4,136.9,41.0,4.1
496,Lewisporte,20,CA,1584329587,72,49.25,-55.05,15.8,3.1
497,Dhidhdhoo,99,MV,1584329448,73,6.88,73.1,83.34,2.42
498,Zhigalovo,100,RU,1584329587,85,54.81,105.16,29.66,3.47
499,Gambēla,99,ET,1584329482,51,8.25,34.58,80.6,0.98
500,Lorengau,100,PG,1584329499,72,-2.02,147.27,84.16,2.95
501,Drăguşeni,0,RO,1584329588,44,45.97,27.75,30.2,1.98
502,Betim,3,BR,1584329372,73,-19.97,-44.2,71.6,1.0
503,Araioses,100,BR,1584329588,96,-2.89,-41.9,75.29,1.04
504,Bengkulu,74,ID,1584329309,58,-3.8,102.27,88.81,0.64
505,Bubaque,32,GW,1584329589,55,11.28,-15.83,81.64,8.51
506,Muros,75,ES,1584329439,93,42.78,-9.06,48.99,1.5
507,Riyadh,0,SA,1584329372,51,24.69,46.72,60.8,2.1
508,Dwārka,100,IN,1584329589,50,22.24,68.97,75.31,9.58
509,Myitkyina,92,MM,1584329590,67,25.38,97.4,73.85,1.74
510,Rosetta,0,EG,1584329590,87,31.4,30.42,59.0,1.0
511,Camacha,40,PT,1584329590,72,33.08,-16.33,60.8,6.2
512,Magugu,100,TZ,1584329590,93,-4.02,35.77,65.88,0.25
513,Ustyuzhna,30,RU,1584329590,58,58.84,36.43,25.25,4.77
514,Itaituba,100,BR,1584329399,98,-4.28,-55.98,69.91,0.72
515,Manadhoo,51,MV,1584328865,78,5.77,73.38,82.85,3.47
516,Malacky,0,SK,1584329591,37,48.44,17.02,39.0,6.7
517,Divnogorsk,100,RU,1584329591,60,55.96,92.36,42.8,4.0
518,Sémbé,57,CG,1584329591,80,1.65,14.58,72.52,1.78
519,Semenivka,0,UA,1584329592,64,52.18,32.58,26.58,2.55
520,Mugumu,100,TZ,1584329592,89,-1.85,34.7,61.66,1.73
521,Tura,40,IN,1584329592,41,25.52,90.22,80.4,1.43
522,Hambantota,24,LK,1584329592,83,6.12,81.12,80.6,2.1
523,Roebourne,0,AU,1584329592,28,-20.78,117.13,97.88,1.75
524,Champerico,23,GT,1584329593,78,14.3,-91.92,78.35,2.0
525,Diffa,29,NE,1584329404,15,13.32,12.61,64.06,2.68
526,Druzhba,0,UA,1584329593,53,52.04,33.95,26.56,3.76
527,Zmiyiv,62,UA,1584329593,79,49.7,36.36,24.8,3.0
528,Gawler,100,AU,1584329593,18,-34.6,138.73,82.4,4.1
529,Maniitsoq,38,GL,1584329594,72,65.42,-52.9,-1.52,2.64
530,Kumo,47,NG,1584329594,15,10.04,11.21,66.92,3.45
531,Hay River,75,CA,1584329594,67,60.82,-115.8,17.6,4.1
532,Conde,75,BR,1584329595,94,-7.26,-34.91,77.0,2.1
533,Saint-François,33,FR,1584329378,82,46.42,3.91,37.4,1.89
534,Den Helder,90,NL,1584329595,93,52.96,4.76,46.99,3.1
535,Pindi Gheb,20,PK,1584329596,87,33.24,72.27,59.0,1.5
536,Buraidah,0,SA,1584329453,87,26.33,43.98,57.2,2.6
537,Tagāb,75,AF,1584329596,65,34.85,69.65,46.4,1.05
538,Port-Gentil,100,GA,1584329597,79,-0.72,8.78,82.35,3.57
539,Whitehorse,40,CA,1584329407,34,60.72,-135.05,33.8,1.0
540,Cordeiro,25,BR,1584329597,97,-22.03,-42.36,66.18,0.92
541,Huarmey,100,PE,1584329439,69,-10.07,-78.15,73.71,1.03
542,Geraldton,75,AU,1584329597,65,-28.77,114.6,77.0,5.1
543,Majene,74,ID,1584329597,60,-3.54,118.97,86.88,2.23
544,Aktash,100,RU,1584329598,71,50.3,87.73,25.41,2.67
545,Monteagudo,95,BO,1584329598,95,-19.82,-63.98,63.61,0.76
546,Ancud,1,CL,1584329598,93,-41.87,-73.82,50.0,1.0
547,Vila Velha,20,BR,1584329374,88,-20.33,-40.29,77.0,1.5
548,Inongo,80,CD,1584329599,95,-1.95,18.27,72.01,0.63
549,Miraflores,90,MX,1584329599,52,19.22,-98.81,66.2,3.1
550,Enshi,100,CN,1584329599,78,30.3,109.48,48.18,0.33
551,Proletarsk,100,RU,1584329599,50,46.7,41.72,28.94,2.45
552,Tsiroanomandidy,41,MG,1584329600,95,-18.77,46.03,66.74,0.31
553,Erenhot,28,CN,1584329600,37,43.65,111.98,42.57,9.24
554,Shimoda,75,JP,1584329600,50,34.67,138.95,57.2,2.1
555,Bongor,25,TD,1584329600,14,10.28,15.37,67.41,3.08
556,Novoagansk,100,RU,1584329600,94,61.94,76.66,8.73,9.12
557,Jiwani,32,PK,1584329601,65,25.05,61.74,71.91,1.93
558,Ürümqi,0,CN,1584329477,42,43.8,87.6,44.6,1.0
559,Show Low,1,US,1584329601,52,34.25,-110.03,48.2,1.5
560,Kenai,1,US,1584329586,42,60.55,-151.26,30.0,1.5
561,Poso,85,ID,1584329601,75,-1.4,120.75,75.78,2.13
562,Wisconsin Rapids,1,US,1584329602,85,44.38,-89.82,30.99,2.6
563,Manono,100,CD,1584329602,95,-7.3,27.42,69.89,0.48
564,Marsá Maţrūḩ,0,EG,1584329602,93,31.35,27.25,51.8,2.03
565,Haines Junction,7,CA,1584329602,92,60.75,-137.51,17.78,0.34
566,Little Rock,90,US,1584329603,81,34.75,-92.29,45.0,6.2
567,Marzuq,100,YE,1584329603,66,14.4,46.47,66.2,1.0
568,Gorom-Gorom,93,BF,1584329603,13,14.44,-0.24,78.33,4.78
569,Spencer,90,US,1584329418,81,43.14,-95.14,33.01,2.6
